ID	WT_r1	WT_r2	WT_r3	KO_r1	KO_r2	KO_r3	KO_rescue_r1	KO_rescue_r2	KO_rescue_r3
ENSMUSG00000020898	663.37	642.71	559.23	627.45	626.51	690.26	539.66	490.95	522.24
ENSMUSG00000020899	71.99	80.29	77.53	106.68	78.11	79.94	95.63	81.18	87.77
ENSMUSG00000020900	18.17	20.81	26.99	28.5	51.77	24.31	32.48	14.56	21.55
ENSMUSG00000020901	2610.53	2432.23	1910.21	2529.59	1487.75	2188.98	2376.51	1910.3	2014
ENSMUSG00000020902	17.99	19.32	16.23	67.13	54.1	80.04	3.12	8.15	3.53
ENSMUSG00000020903	1201.4	1269.42	1371.93	1352.69	1416.48	1335.62	1436.3	1648.69	1624.96
ENSMUSG00000020904	5.65	17.38	19.58	76.29	115.99	27.66	3.6	-1.05	9.11
ENSMUSG00000020905	2.17	9.56	2.84	23.13	24.75	16.13	0.92	-0.2	1.75
ENSMUSG00000020908	36.8	48.34	34.63	3.18	4.19	9.63	9.94	6.5	14.5
ENSMUSG00000020910	1078.87	1035.61	1065.46	844.15	906.6	936.82	987.35	1087.97	945.15
ENSMUSG00000020911	321.09	264.31	300.87	1165.05	2056.47	1883.83	247.27	76.43	132.84
ENSMUSG00000020913	3.6	0.46	0.42	-0.43	0.46	0.42	3.34	0.46	1.83
